mainhand,offhand,sex
 88,49,M
 85,48,M
 47,15,M
 67,40,M
108,70,F
 83,40,M
 84,40,F
 76,49,M
 88,52,F
101,32,M
 79,33,M
101,78,F
102,55,F
 67,30,F
 86,65,F
 96,57,F
 92,47,M
 60,25,M
 81,45,F
 92,36,M
 90,59,M
 90,57,M
 77,43,F
103,72,M
 53,30,M
 95,48,F
 79,29,M
103,64,F
 78,50,F
 59,39,M
 95,29,
 74,49,F
 73,59,M
 91,53,M
 92,65,F
 83,45,F
130,67,F
 68,37,F
 72,48,F
 92,48,F
133,43,F
109,62,F
 75,41,M
105,69,F
 66,63,F
105,54,F
 63,45,F
 61,30,F
 79,56,F
 62,45,F
 89,45,M
 52,44,M
 74,32,F
 88,47,M
 78,32,F
