group,trees,species,richness
"1",27,22, .81481
"1",22,18, .81818
"1",29,22, .75862
"1",21,20, .95238
"1",19,15, .78947
"1",33,21, .63636
"1",16,13, .81250
"1",20,13, .65000
"1",24,19, .79167
"1",27,13, .48148
"1",28,19, .67857
"1",19,15, .78947
"2",12,11, .91667
"2",12,11, .91667
"2",15,14, .93333
"2", 9, 7, .77778
"2",20,18, .90000
"2",18,15, .83333
"2",17,15, .88235
"2",14,12, .85714
"2",14,13, .92857
"2", 2, 2,1.00000
"2",17,15, .88235
"2",19, 8, .42105
"3",18,17, .94444
"3", 4, 4,1.00000
"3",22,18, .81818
"3",15,14, .93333
"3",18,18,1.00000
"3",19,15, .78947
"3",22,15, .68182
"3",12,10, .83333
"3",12,12,1.00000
