year,FemaleMath,FemaleVerbal,MaleMath,MaleVerbal
1967,495,545,535,540
1968,497,543,533,541
1969,498,543,534,536
1970,493,538,531,536
1971,494,534,529,531
1972,489,529,527,531
1973,489,521,525,523
1974,488,520,524,524
1975,479,509,518,515
1976,475,508,520,511
1977,474,505,520,509
1978,474,503,517,511
1979,473,501,516,509
1980,473,498,515,506
1981,473,496,516,508
1982,473,499,516,509
1983,474,498,516,508
1984,478,498,518,511
1985,480,503,522,514
1986,479,504,522,515
1987,481,502,523,512
1988,483,499,521,512
1989,482,498,523,510
1990,483,496,521,505
1991,482,495,520,503
1992,484,496,521,504
1993,484,497,524,504
1994,487,497,523,501
1995,490,502,525,505
1996,492,503,527,507
1997,494,503,530,507
1998,496,502,531,509
1999,495,502,531,509
2000,498,504,533,507
2001,498,502,533,509
2002,500,502,534,507
2003,503,503,537,512
2004,501,504,537,512
2005,504,505,538,513
2006,502,502,536,505
2007,499,500,532,503
2008,499,499,532,502
2009,498,497,533,502
2010,499,498,533,502
2011,500,495,531,500
2012,499,493,532,498
2013,499,494,531,499
2014,499,495,530,499
2015,497,493,527,496
2016,495,493,524,494
2017,532,534,538,516
2018,534,539,542,522
