id,humerus,tibiotarsus,type
BO93,151,152,0
B102,153,156,0
B103,149,151,0
L641,150,141,0
L783,154,157,0
L905,169,163,0
B710,153,151,0
B790,156,155,0
B819,158,152,0
B085,148,147,0
B089,157,159,0
B090,153,151,0
B091,148,150,0
B097,153,158,0
B099,152,158,0
B106,147,145,0
B111,154,153,0
B114,154,155,0
B116,161,151,0
L690,140,141,0
L674,142,131,1
L678,148,141,1
L679,148,135,1
L682,145,136,1
L684,153,146,1
L695,149,139,1
L746,143,137,1
L747,149,136,1
L748,145,136,1
L749,148,145,1
L750,149,147,1
L753,141,131,1
L758,149,137,1
L762,145,140,1
L765,148,144,1
L770,144,134,1
L774,143,137,1
L779,149,139,1
L784,150,143,1
